City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA TESSATUNGA, 52D",6734,9200,nktgxrc1zz3z,team_virtual,2023-04-10T14:57:41.000Z,UPX,140,,,"81,45",No boost,41323126401328,9456,"363,6923077"
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA SANTO ARCADIO, 225",6734,33499,oxraxoeb5tec,fabyy,2023-04-07T17:58:54.000Z,,,,,"81,45",No boost,41323109624101,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA TESSATUNGA, 53A",6734,6734,jarumyht3hnf,entourag3,2023-02-23T17:07:15.500Z,,,,,"81,45",No boost,41323092846908,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA SANTO ARCADIO, 235",6734,6734,lw3nh3nsclko,zumbizeratv,2023-02-23T17:10:07.000Z,UPX,163,,,"81,45",No boost,41323059292452,11000,"423,0769231"
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA NOVO CANCIONEIRO, 152B",6734,4150,uinc4nmhenev,masterhood7,2023-02-26T20:57:19.500Z,,,,,"81,45",No boost,41322941851939,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA JACERU, 371",6734,7999,uevgoj5le1nl,drmemory8,2023-03-14T23:34:53.000Z,,,,,"81,45",No boost,41322941851817,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA PASSAROS E FLORES, 281",6734,7700,qdcwci5cpk4w,bpasak,2023-04-02T21:16:57.500Z,,,,,"81,45",No boost,41322925074793,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA CORONEL CONRADO SIQUEIRA CAMPOS, 149",6734,6734,taewh4ejum1c,hrusyd,2023-02-27T13:10:26.500Z,UPX,223,,,"81,45",No boost,41322774079894,15000,"576,9230769"
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA GETULIO SOARES DA ROCHA, 55",6734,6734,i4kx4mvfbzsm,ugase,2023-02-23T17:07:31.000Z,,,,,"81,45",No boost,41322539198808,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA GETULIO SOARES DA ROCHA, 79",6734,6734,juqnzgtsox24,neshat1,2023-03-21T11:16:54.000Z,UPX,134,,,"81,45",No boost,41322438535508,9000,"346,1538462"
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA CACILDA BECKER, 147",6734,6999,u3o4gchb5rul,orchardst,2023-03-03T19:28:45.000Z,,,,,"81,45",No boost,41322321094926,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA DAS MARGARIDAS, 319",6734,12345,nu2rczmfbw5c,jbarker797,2023-02-28T15:48:51.000Z,,,,,"81,45",No boost,41322052659557,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA MADRESSILVA, 35",6734,4800,nz3hyikgygqb,jonnyla08,2023-04-03T00:28:39.500Z,,,,,"81,45",No boost,41321985550612,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA DAS SEMPRE-VIVAS, 257",6734,9999,oztd3y5weqwz,gmaharjan,2023-02-27T06:00:09.500Z,,,,,"81,45",No boost,41321683560768,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"AVENIDA SANTO AMARO, 4930",6734,10527,gmpzxtjj1epn,capin25,2023-02-24T09:50:24.000Z,,,,,"81,45",No boost,41321448679825,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA MICHAEL FARADAY, 44",6734,9000,xmorq4m4blxo,kevbell,2023-02-23T17:09:54.500Z,UPX,140,,,"81,45",No boost,41329602406565,9450,"363,4615385"
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA BACAETAVA, 319",6734,6734,z1gxhs1yb1ko,itibereg,2023-03-09T13:22:54.000Z,UPX,178,,,"81,45",No boost,41323495499912,12000,"461,5384615"
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"AVENIDA ENGENHEIRO LUIS CARLOS BERRINI, 583",6734,3990,e5ugulvxztbw,leih,2023-03-10T21:27:54.000Z,UPX,139,,,"81,45",No boost,41336346847502,9367,"360,2692308"
